1,1,0,0,0,1,0,0
2,1,0,0,0,0,1,0
3,1,0,0,0,0,0,1
4,1,0,0,0,1,0,0
5,0,1,0,0,0,1,0
6,0,1,0,0,1,0,0
7,0,1,0,0,0,0,1
8,0,1,0,0,0,1,0
9,0,0,1,0,0,0,1
10,0,0,1,0,0,1,0
11,0,0,1,0,0,1,0
12,0,0,0,1,0,1,0
13,0,0,0,1,0,1,0
14,1,0,0,0,1,0,0
15,1,0,0,0,1,0,0
16,1,0,0,0,0,0,1
17,1,0,0,0,0,1,0
18,0,1,0,0,1,0,0
19,0,1,0,0,1,0,0
20,0,1,0,0,0,1,0
21,0,1,0,0,1,0,0
22,0,1,0,0,0,1,0
23,0,0,1,0,1,0,0
24,0,0,1,0,0,0,1
25,0,0,1,0,0,0,1
26,0,0,1,0,0,1,0
27,0,0,0,1,0,1,0
28,0,0,0,1,0,1,0
29,0,0,0,1,0,0,1
